Transcation_Date,Circle_Name,Dist_Name,Mineral_Name,Royalty_Amount
10-17-24 12:00 AM,KOIRA,SUNDERGARH,,500.0
03-18-23 12:00 AM,TALCHER,ANGUL,,11.0
04-20-23 12:00 AM,TALCHER,ANGUL,,10.0
12-17-24 12:00 AM,BERHAMPUR,GANJAM,,12.3
06-23-22 12:00 AM,JODA,KEONJHAR,,383.2
02-01-2024 00:00,JODA,KEONJHAR,,609.9
01-18-25 12:00 AM,BERHAMPUR,GANJAM,,10.0
11-16-24 12:00 AM,BERHAMPUR,GANJAM,,10.0
11-25-23 12:00 AM,JODA,KEONJHAR,,1000.0
01-12-2023 00:00,JODA,KEONJHAR,,2000.0
01-20-23 12:00 AM,BERHAMPUR,GANJAM,,10.0
03-19-24 12:00 AM,BERHAMPUR,GANJAM,,4.6
06-26-23 12:00 AM,JODA,KEONJHAR,,10.0
08-29-23 12:00 AM,JODA,KEONJHAR,,80.0
11-23-24 12:00 AM,JODA,KEONJHAR,,50.0
03-12-2024 00:00,JAJPUR ROAD,JAGATSINGHPUR,,250.0
08-24-23 12:00 AM,JAJPUR ROAD,JAGATSINGHPUR,,251.5
07-02-2024 00:00,JODA,KEONJHAR,,50.0
06-23-22 12:00 AM,JODA,KEONJHAR,,100.0
03-21-23 12:00 AM,JAJPUR ROAD,JAGATSINGHPUR,,1000.0
03-11-2024 00:00,JAJPUR ROAD,JAGATSINGHPUR,,3000.1
02-14-25 12:00 AM,SAMBALPUR,SAMBALPUR,,10.0
12-02-2024 00:00,SAMBALPUR,SAMBALPUR,,400.0
10-08-2023 00:00,,,,150.0
01-29-24 12:00 AM,,,,150.0
02-10-2024 00:00,JAJPUR ROAD,JAGATSINGHPUR,,278.0
02-03-2024 00:00,JAJPUR ROAD,JAGATSINGHPUR,,220.5
07-02-2024 00:00,,,,150.0
12-18-24 12:00 AM,,,,150.0
01-25-24 12:00 AM,,,,150.0
03-15-24 12:00 AM,JAJPUR ROAD,JAGATSINGHPUR,,323.6
06-29-23 12:00 AM,JAJPUR ROAD,JAGATSINGHPUR,,30.0
12-16-23 12:00 AM,,,,150.0
03-04-2024 00:00,,,,150.0
10-10-2024 00:00,,,,150.0
02-01-2025 00:00,ROURKELA,SUNDERGARH,,100.0
05-09-2024 00:00,BARIPADA,BHADRAK,,200.0
03-20-24 12:00 AM,JAJPUR ROAD,JAGATSINGHPUR,,100.0
01-17-24 12:00 AM,BARIPADA,BALESHWAR,,20.0
04-22-24 12:00 AM,KEONJHAR,KEONJHAR,,500.0
07-19-24 12:00 AM,KEONJHAR,KEONJHAR,,20.0
01-03-2025 00:00,BARIPADA,BALESHWAR,,10.0
10-17-24 12:00 AM,BARIPADA,BALESHWAR,LIMESTONE,1000.0
04-16-24 12:00 AM,JODA,KEONJHAR,,58.0
01-24-25 12:00 AM,JODA,KEONJHAR,,50.0
09-26-24 12:00 AM,BARIPADA,BALESHWAR,LIMESTONE,20.0
09-27-23 12:00 AM,BERHAMPUR,GANJAM,ILMENITE,100.0
12-30-23 12:00 AM,JODA,KEONJHAR,,20.0
11-09-2023 00:00,JODA,KEONJHAR,,20.0
07-11-2024 00:00,BERHAMPUR,GANJAM,ILMENITE,50.0
01-08-2025 00:00,BERHAMPUR,GANJAM,,30.0
02-24-23 12:00 AM,JODA,KEONJHAR,,100.0
12-07-2022 00:00,JODA,KEONJHAR,,500.0
06-26-23 12:00 AM,BERHAMPUR,GANJAM,,10.0
11-18-24 12:00 AM,BERHAMPUR,GANJAM,,10.0
02-07-2024 00:00,JODA,KEONJHAR,,810.0
12-06-2022 00:00,JODA,KEONJHAR,,500.0
04-15-23 12:00 AM,BERHAMPUR,GANJAM,,16.2
01-27-23 12:00 AM,BERHAMPUR,GANJAM,,2400.0
12-21-22 12:00 AM,JODA,KEONJHAR,,400.0
08-29-24 12:00 AM,JODA,KEONJHAR,,363.5
03-20-23 12:00 AM,CUTTACK,CUTTACK,,10.0
02-21-24 12:00 AM,CUTTACK,CUTTACK,COAL,20.0
12-09-2023 00:00,JODA,KEONJHAR,,1000.0
03-16-24 12:00 AM,JODA,KEONJHAR,,91.4
06-02-2023 00:00,JODA,KEONJHAR,,500.0
09-27-23 12:00 AM,JODA,KEONJHAR,,10.0
10-12-2023 00:00,JODA,KEONJHAR,,500.0
05-03-2024 00:00,CUTTACK,CUTTACK,,5600.0
03-20-25 12:00 AM,CUTTACK,CUTTACK,,500.0
12-23-24 12:00 AM,,,,150.0
09-12-2023 00:00,,,,150.0
10-25-24 12:00 AM,,,,150.0
11-06-2023 00:00,,,,150.0
12-23-22 12:00 AM,,,,150.0
07-20-23 12:00 AM,,,,150.0
04-04-2023 00:00,,,,150.0
10-06-2023 00:00,,,,150.0
11-02-2023 00:00,,,,150.0
05-15-24 12:00 AM,,,,150.0
05-14-24 12:00 AM,,,,150.0
12-26-23 12:00 AM,,,,150.0
05-15-23 12:00 AM,,,,150.0
06-23-24 12:00 AM,,,,150.0
02-27-24 12:00 AM,,,,150.0
06-28-24 12:00 AM,,,,150.0
10-12-2022 00:00,,,,150.0
12-15-22 12:00 AM,,,,150.0
07-22-22 12:00 AM,,,,150.0
12-09-2024 00:00,,,,150.0
04-10-2023 00:00,,,,150.0
07-28-23 12:00 AM,,,,150.0
10-05-2023 00:00,,,,150.0
09-16-23 12:00 AM,,,,150.0
09-30-24 12:00 AM,,,,150.0
02-01-2024 00:00,,,,150.0
06-03-2024 00:00,,,,150.0
11-03-2023 00:00,,,,150.0
06-12-2023 00:00,,,,150.0
